## schema based on version 2.11.0,
## directly checked out from https://github.com/CanDIG/katsu.git, commit 7d252e9e7ea6cabc77b265946c1e880b7e766dd0
## mcodepacket element, description (overwrite with mapped element)
## (.0 is an array element) (* is required) (+ denotes ontology term),
id,{single_val(Subject)}
##subject,"##An individual who is a subject of mcodepacket."
subject.id*,{single_val(Subject)}
##subject.alternate_ids,"##A list of alternative identifiers for an individual."
subject.alternate_ids.0,"##One of possibly many alternative identifiers for an individual."
subject.date_of_birth,{single_date("Date of Birth")}
subject.age,"##The age or age range of the individual."
subject.sex,{single_val(Gender)}
subject.karyotypic_sex,"##The karyotypic sex of an individual."
subject.taxonomy+,"##An ontology term specified when more than one organism may be studied. It is advised that codesfrom the NCBI Taxonomy resource are used, e.g. NCBITaxon:9606 for humans."
subject.active,"##Whether a patient's record is in active use."
subject.deceased,{has_value("Date of Death")}
subject.race,"##A code for a person's race (mCode)."
subject.ethnicity,{single_val(Ethnicity)}
##subject.comorbid_condition,"##One or more conditions that occur with primary condition."
subject.comorbid_condition.clinical_status+,"##An ontology term."
subject.comorbid_condition.code+,"##An ontology term."
subject.ecog_performance_status+,{mcode.ecog_performance_status(ECOG)}
subject.karnofsky+,"##Value representing the Karnofsky Performance status."
subject.extra_properties.communication_language,{mcode.language("Subject")}
##genomics_report,"##A genomics report associated with an Individual."
genomics_report.id*,{single_val(Subject)}
genomics_report.code*+,{mcode.placeholder_ontology("1000 Genomes_ID")}
genomics_report.performing_organization_name,{mcode.connect_org("1000 Genomes_ID")}
genomics_report.issued*,{mcode.date("1000 Genomes_ID")}
genomics_report.genetic_specimen,"##List of related genetic specimens."
##genomics_report.genetic_specimen.0,"##Class to describe a biosample used for genomics testing or analysis."
genomics_report.genetic_specimen.0.id*,"##An arbitrary identifier for the genetic specimen."
genomics_report.genetic_specimen.0.specimen_type*+,"##The kind of material that forms the specimen."
genomics_report.genetic_specimen.0.collection_body+,"##The anatomical collection site."
genomics_report.genetic_specimen.0.laterality+,"##Body side of the collection site, if needed to distinguish from a similar location on the other side of the body."
genomics_report.genetic_specimen.0.extra_properties,
##genomics_report.genetic_variant,"##Related genetic variant."
genomics_report.genetic_variant.id*,"##An arbitrary identifier for the cancer genetic variant."
genomics_report.genetic_variant.data_value+,"##The overall result of the genetic test; specifically, whether a variant is present, absent, no call, or indeterminant."
genomics_report.genetic_variant.method+,"##The method used to perform the genetic test."
genomics_report.genetic_variant.amino_acid_change+,"##The symbolic representation of an amino acid variant reported using HGVS nomenclature (pHGVS)."
genomics_report.genetic_variant.amino_acid_change_type+,"##The type of change related to the amino acid variant."
genomics_report.genetic_variant.cytogenetic_location,"##The cytogenetic (chromosome) location."
